GO_ID	GO_Name	GO_Category	Enrichment	p_uncorrected	p_fdr_bh	Study_Count	Study_Total	Pop_Count	Pop_Total	Study_Genes	Depth
GO:0010513	positive regulation of phosphatidylinositol biosynthetic process	BP	e	0.043560230699697215	1.0	1	229	3	15541	HTR2C	10
GO:0072300	positive regulation of metanephric glomerulus development	BP	e	0.043560230699697215	1.0	1	229	3	15541	AGTR2	7
GO:0097745	mitochondrial tRNA 5'-end processing	BP	e	0.043560230699697215	1.0	1	229	3	15541	HSD17B10	10
GO:0097368	establishment of Sertoli cell barrier	BP	e	0.043560230699697215	1.0	1	229	3	15541	FLNA	6
GO:0008215	spermine metabolic process	BP	e	0.043560230699697215	1.0	1	229	3	15541	SMS	6
GO:0006311	meiotic gene conversion	BP	e	0.043560230699697215	1.0	1	229	3	15541	TEX11	10
GO:1901465	positive regulation of tetrapyrrole biosynthetic process	BP	e	0.043560230699697215	1.0	1	229	3	15541	ABCB7	7
GO:1902018	negative regulation of cilium assembly	BP	e	0.04115454390856015	1.0	2	229	22	15541	USP9X,WDR44	9
GO:0034109	homotypic cell-cell adhesion	BP	e	0.04115707867937519	1.0	3	229	52	15541	CD99,FLNA,XG	4
GO:0060688	regulation of morphogenesis of a branching structure	BP	e	0.04115707867937519	1.0	3	229	52	15541	AGTR2,AR,MAGED1	5
GO:0051781	positive regulation of cell division	BP	e	0.042488705071109766	1.0	4	229	89	15541	OPN1LW,OPN1MW,OPN1MW2,OPN1MW3	5
GO:0009880	embryonic pattern specification	BP	e	0.04316765419785758	1.0	3	229	53	15541	CDX4,EFNB1,RIPPLY1	3
GO:0001803	regulation of type III hypersensitivity	BP	e	0.043560230699697215	1.0	1	229	3	15541	BTK	10
GO:0045957	negative regulation of complement activation, alternative pathway	BP	e	0.043560230699697215	1.0	1	229	3	15541	VSIG4	8
GO:0021943	formation of radial glial scaffolds	BP	e	0.043560230699697215	1.0	1	229	3	15541	FLNA	4
GO:0007420	brain development	BP	e	0.03243465936156079	1.0	7	229	205	15541	AFF2,AGTR2,MAGEE2,MECP2,PHF8,POU3F4,RBBP7	4
GO:0019751	polyol metabolic process	BP	e	0.03419725312144005	1.0	4	229	83	15541	GK,MECP2,NUDT10,NUDT11	5
GO:1901381	positive regulation of potassium ion transmembrane transport	BP	e	0.034504021631250395	1.0	2	229	20	15541	FHL1,FLNA	9
GO:0070536	protein K63-linked deubiquitination	BP	e	0.034504021631250395	1.0	2	229	20	15541	OTUD5,USP9X	10
GO:0090189	regulation of branching involved in ureteric bud morphogenesis	BP	e	0.034504021631250395	1.0	2	229	20	15541	AGTR2,MAGED1	6
GO:0035265	organ growth	BP	e	0.03541884655482804	1.0	3	229	49	15541	AR,ARX,NLGN4X	3
GO:0032465	regulation of cytokinesis	BP	e	0.039609697120169596	1.0	4	229	87	15541	OPN1LW,OPN1MW,OPN1MW2,OPN1MW3	6
GO:0032703	negative regulation of interleukin-2 production	BP	e	0.04115454390856015	1.0	2	229	22	15541	GPR174,VSIG4	10
GO:0006626	protein targeting to mitochondrion	BP	e	0.05193989243557028	1.0	2	229	25	15541	TIMM17B,TIMM8A	6
GO:0099084	postsynaptic specialization organization	BP	e	0.05193989243557028	1.0	2	229	25	15541	CNKSR2,OPHN1	5
GO:0009309	amine biosynthetic process	BP	e	0.05193989243557028	1.0	2	229	25	15541	SAT1,SMS	4
GO:1990000	amyloid fibril formation	BP	e	0.05193989243557028	1.0	2	229	25	15541	EMD,USP9X	5
GO:0090263	positive regulation of canonical Wnt signaling pathway	BP	e	0.05515453871868248	1.0	4	229	97	15541	AMER1,DDX3X,EDA,GPC3	8
GO:0007585	respiratory gaseous exchange by respiratory system	BP	e	0.05573547444353807	1.0	2	229	26	15541	CYSLTR1,MECP2	2
GO:0043647	inositol phosphate metabolic process	BP	e	0.05573547444353807	1.0	2	229	26	15541	NUDT10,NUDT11	6
GO:1903421	regulation of synaptic vesicle recycling	BP	e	0.05573547444353807	1.0	2	229	26	15541	GRIPAP1,OPHN1	5
GO:0061187	regulation of rDNA heterochromatin formation	BP	e	0.043560230699697215	1.0	1	229	3	15541	PHF8	9
GO:0070455	positive regulation of heme biosynthetic process	BP	e	0.043560230699697215	1.0	1	229	3	15541	ABCB7	8
GO:0046167	glycerol-3-phosphate biosynthetic process	BP	e	0.043560230699697215	1.0	1	229	3	15541	GK	7
GO:0035751	regulation of lysosomal lumen pH	BP	e	0.044645640585619935	1.0	2	229	23	15541	ATP6AP1,TASL	8
GO:0038066	p38MAPK cascade	BP	e	0.04824203381707316	1.0	2	229	24	15541	MAP3K15,TAB3	8
GO:0031346	positive regulation of cell projection organization	BP	e	0.050721216416725945	1.0	9	229	311	15541	ARMCX5-GPRASP2,DMD,FRMD7,GDI1,GPRASP3,IL1RAPL1,TENM1,TRPC5,WDR44	6
GO:2000042	negative regulation of double-strand break repair via homologous recombination	BP	e	0.05193989243557028	1.0	2	229	25	15541	KLHL15,RADX	11
GO:0042401	biogenic amine biosynthetic process	BP	e	0.05193989243557028	1.0	2	229	25	15541	SAT1,SMS	5
GO:0006272	leading strand elongation	BP	e	0.043560230699697215	1.0	1	229	3	15541	POLA1	9
GO:0001810	regulation of type I hypersensitivity	BP	e	0.043560230699697215	1.0	1	229	3	15541	BTK	10
GO:0006598	polyamine catabolic process	BP	e	0.043560230699697215	1.0	1	229	3	15541	SAT1	6
GO:1900208	regulation of cardiolipin metabolic process	BP	e	0.043560230699697215	1.0	1	229	3	15541	TAFAZZIN	8
GO:0001805	positive regulation of type III hypersensitivity	BP	e	0.043560230699697215	1.0	1	229	3	15541	BTK	11
GO:0072334	UDP-galactose transmembrane transport	BP	e	0.043560230699697215	1.0	1	229	3	15541	SLC35A2	8
GO:1901647	positive regulation of synoviocyte proliferation	BP	e	0.043560230699697215	1.0	1	229	3	15541	BTK	7
GO:0007252	I-kappaB phosphorylation	BP	e	0.043560230699697215	1.0	1	229	3	15541	PRDX4	7
GO:0007060	male meiosis chromosome segregation	BP	e	0.043560230699697215	1.0	1	229	3	15541	TEX11	6
GO:0072298	regulation of metanephric glomerulus development	BP	e	0.043560230699697215	1.0	1	229	3	15541	AGTR2	6
GO:0060769	positive regulation of epithelial cell proliferation involved in prostate gland development	BP	e	0.043560230699697215	1.0	1	229	3	15541	AR	7
