GO_ID	Category
GO:0048730	development
GO:2000741	development
GO:1905065	development
GO:0062009	development
GO:0060163	development
GO:0003188	development
GO:0060319	development
GO:0021742	development
GO:0072213	development
GO:0072017	development
GO:0060837	development
GO:0060460	development
GO:0003251	development
GO:2001198	development
GO:0060693	development
GO:2000393	development
GO:0030878	development
GO:0042462	development
GO:0048264	development
GO:0060527	development
GO:0021758	development
GO:0098749	development
GO:0003160	development
GO:0045604	development
GO:0060648	development
GO:0072218	development
GO:0002572	development
GO:0060463	development
GO:0021572	development
GO:0043425	development
GO:0072161	development
GO:0120221	development
GO:0048743	development
GO:0035788	development
GO:1904339	development
GO:0072174	development
GO:0021557	development
GO:0045617	development
GO:0021781	development
GO:0002376	development
GO:0060366	development
GO:2000354	development
GO:0007417	development
GO:0048643	development
GO:0060683	development
GO:0043583	development
GO:0055012	development
GO:1903251	development
GO:2000723	development
GO:0035645	development
GO:0072051	development
GO:0160038	development
GO:0060840	development
GO:0090521	development
GO:0048664	development
GO:0017145	development
GO:0050774	development
GO:1900215	development
GO:2000978	development
GO:0060676	development
GO:0003175	development
GO:0007386	development
GO:0061009	development
GO:0060665	development
GO:0060843	development
GO:0048613	development
GO:0030216	development
GO:0001754	development
GO:0021997	development
GO:0072038	development
GO:0002335	development
GO:0035270	development
GO:0042481	development
GO:0030540	development
GO:0003150	development
GO:0045662	development
GO:0048087	development
GO:0072359	development
GO:0036023	development
GO:0001654	development
GO:0000805	development
GO:0001880	development
GO:0072272	development
GO:0061143	development
GO:1903375	development
GO:0003342	development
GO:0001553	development
GO:0001827	development
GO:0051153	development
GO:0048742	development
GO:0051145	development
GO:0002762	development
GO:0060717	development
GO:0045577	development
GO:2000744	development
GO:0021784	development
GO:0003138	development
GO:0060536	development
GO:0048593	development
GO:0030318	development
GO:0021670	development
GO:0035234	development
GO:1903701	development
GO:0060749	development
GO:0042663	development
GO:0061180	development
GO:0045591	development
GO:0048598	development
GO:0036179	development
GO:0009888	development
GO:0021954	development
GO:0061343	development
GO:0060068	development
GO:0060037	development
GO:0009792	development
GO:0007493	development
GO:0048665	development
GO:0061103	development
GO:0061033	development
GO:0014707	development
GO:0003172	development
GO:1900099	development
GO:0003229	development
GO:0021636	development
GO:0036022	development
GO:1902107	development
GO:0090077	development
GO:2000358	development
GO:0010172	development
GO:2000319	development
GO:0072208	development
GO:0048568	development
GO:2000007	development
GO:0055010	development
GO:0048339	development
GO:0008585	development
GO:0060512	development
GO:0060479	development
GO:0036342	development
GO:0150018	development
GO:0001756	development
GO:0007254	development
GO:0009957	development
GO:0014906	development
GO:0010725	development
GO:0033505	development
GO:0002930	development
GO:1901343	development
GO:0072046	development
GO:0060599	development
GO:0048565	development
GO:2000697	development
GO:0036303	development
GO:1902761	development
GO:1905209	development
GO:0014008	development
GO:0060008	development
GO:0060762	development
GO:0060675	development
GO:0032825	development
GO:0002337	development
GO:0006914	development
GO:0060783	development
GO:0072080	development
GO:0072520	development
GO:0061047	development
GO:0043374	development
GO:0140089	development
GO:0045665	development
